@relation features-weka.filters.unsupervised.instance.RemovePercentage-P15.0-weka.filters.unsupervised.instance.RemovePercentage-P15.0

@attribute xMean numeric
@attribute xStdDev numeric
@attribute xIntqr numeric
@attribute yMean numeric
@attribute yStdDev numeric
@attribute yIntqr numeric
@attribute zMean numeric
@attribute zStdDev numeric
@attribute zIntqr numeric
@attribute CorrXY numeric
@attribute CorrXZ numeric
@attribute CorrYZ numeric
@attribute timeStamp numeric
@attribute class {sitting,walking,standing,lying,'on table',running}

@data
10.117716,0.061441,0.0785,-1.030482,0.067567,0.117675,-0.173512,0.079665,0.11768,-0.066471,-0.029319,0.042745,1445365168380.999936,sitting
10.100457,0.071486,0.1177,-1.023552,0.064618,0.078455,-0.165144,0.082787,0.11768,0.07544,-0.144466,-0.080691,1445365174542.000128,sitting
10.107517,0.076404,0.0785,-1.041727,0.063682,0.117675,-0.215485,0.088994,0.11768,0.065481,0.054595,0.103165,1445365180662.000128,sitting
10.099672,0.071404,0.1177,-1.001062,0.064359,0.068645,-0.137162,0.091109,0.11768,0.00931,-0.059341,0.229521,1445365186771.000064,sitting
10.118109,0.063801,0.0785,-0.970858,0.059254,0.078452,-0.145923,0.076071,0.11768,0.010204,-0.051931,0.059369,1445365192991.000064,sitting
10.128045,0.06725,0.0785,-0.998055,0.061629,0.117682,-0.153114,0.072387,0.078453,-0.041327,-0.205742,0.037904,1445365199132,sitting
10.122949,0.069468,0.0785,-0.989033,0.067614,0.078452,-0.184888,0.081584,0.11768,0.094291,-0.102089,-0.114429,1445365205232,sitting
10.117717,0.077512,0.0785,-1.000932,0.070175,0.117682,-0.239021,0.07784,0.078453,-0.038653,0.000032,0.04007,1445365211312,sitting
10.113664,0.063235,0.0785,-1.006816,0.068156,0.078455,-0.260334,0.075763,0.11768,-0.064101,-0.048457,0.007639,1445365217451.000064,sitting
10.120071,0.069736,0.0785,-1.005639,0.060591,0.078455,-0.248435,0.077086,0.11768,-0.024255,-0.070865,0.086311,1445365223652,sitting
10.103985,0.0654,0.1177,-1.009169,0.06651,0.078455,-0.254973,0.076829,0.11768,-0.023144,0.009211,0.110778,1445365229822.000128,sitting
10.09784,0.062344,0.1177,-1.023683,0.067911,0.078455,-0.30126,0.073554,0.117679,0.023406,-0.097247,-0.025466,1445365236020.999936,sitting
10.113402,0.070811,0.0785,-1.020283,0.065078,0.078455,-0.313421,0.074998,0.078453,0.092065,-0.092489,0.005303,1445365242139.000064,sitting
10.126739,0.067457,0.0785,-1.023683,0.067684,0.078455,-0.303875,0.081879,0.117679,0.007441,0.052949,0.087611,1445365248260.999936,sitting
